no,body_text,label
0,wah iya dy haha sabar bgt anaknya teh jd we aku yg gtau diri ngomong seenaknya,0
1,besok mau ke kampus lagi ga,0
2,mgkin periksa nama id di view jg sep,0
3,data pasien itu no medrec sdgkn daftar ulang itu pake no register karna field yg akan diisi saat daftar ulang beda maka tablenya beda,0
4,topup pulsa rp  berhasil via transfer atm bni kode trx    pulsa anda saat ini rp    terima kasih telah menggunakan indosat ooredoo,0
5,selamat sore teh  ini dg nama  lg nyari kosan perbulan  apakah ada yg kosong teh disana  terima kasih,0
6,senin mah pelepasan doang kan  aku brngktnya selasa apa egi senin berangktnya,0
7,nama   note nama  yang dinamic ada di emil  kembaliin ke nama  atau gmana,0
8,wid jgn plg sebelum ketemu aku  aku brgkt jam   hehe,0
9,sok saya bebas gmna kalian  bsok hayu   jumat oke,0
10,eh di kosan nama  maksudnya  buat temen nama    buat september,0
11,kalo ngga besok ke kampus senin  nama  ke kampus nya,0
12,ada teh dikpad  ini kontaknya,0
13,oh oke pak nanti saya lgsg kesana untuk kepastikan buka jam berapa  ke bebek komar yg dekat dt bisa,0
14,aku jg blm berangkt wkwk,0
15,baik pak  berarti nanti kamis kami ke kantor lagi,0
16,saya meminta maaf atas apa apa yang telah saya perbuat  maaf dari lisan ini yang belum terjaga  maaf atas perilaku yang kurang baik  maaf atas segala kesalahan baik yang tersadari atau yang tidak saya sadari,0
17,okayyy  nanti siang jam  an hehe  ga kemana mana hari ini,0
18,andipublisher com po          bni bank mandiri,0
19,ada yg lain kok ikan tahu tempe,0
20,waalaikumsalamin apa yg dpt saya bantu min,0
21,aku mah sering ditinggal jualan  jd mau marah juga ntar alesannya  duit kan buat km juga   diem lgsg haha,0
22,cari yang seken  murah meriah kualiatasnya masih bagus kok,0
23,ouhhh gitu yaudah ntar besok aku chat lagi kalo aku mo ngampus,0
24,selamatkan diri kalian guys  karna  nikah bareng  hanyalah kebaperan sesaat  naonaridyah,0
25,ada semua di panduan pla  dishare di grup ini dan fb,0
26,boleh bu  kalau ada yang bakal pindah bulan itu  kalau tidak keberatan bisa kabarin bu  terima kasih,0
27,alhamdullilah sudah beres semua     bagi yang mau keluar dari group dipersilahkan  tapi silahkan juga kalau ada yg mau memanfaatkan group ini untuk diskusi dengan topik terkait untuk skripsi gemastik kerjaan,0
28,ada nya instagram,0
29,soalnya yang aku udah ditambahin,0
30,haha ayook kita bully adi ndut sama sama 😃😃,0
31,yang ada waktu luang besok pada futsal ya jam   di sampoerna  s jangan ngaret,0
32,kumpulnya makan daging  jadi gak usah ke resto  d,0
33,teh maaf kalau teteh sibuk gpp nanti bayar besok aja pas pengiriman,0
34,bebas    senin stuju   apa aja yg di kebapain selain program,0
35,da sebenernya makan sama indomie ge cukup aku mah 😂,0
36,biasanya mah stasiun teh sebelum lewatin rel nama,0
37,numpang promo yah  siapa tau ada yang berminat 😊 bisa liat di instagram nya,0
38,habis ini  pake groupwhere  biar ga berceceran filenya,0
39,di kfc yg deket enhaii ada dy,0
40,udh teh kata bapa bsk kekantor cuman blm dbls lg jamber   jd blm pasti jg,0
41,ya masuk aja  belum ada tugas quiz kok  cuma perlu ngejar dikit  materinya sekarang sudah sampai location aware app  pertemuan berikutnya masuk ke sensor,0
42,bisi ga enak ga bantuin beberes ato masak nya,0
43,makasih semuanyaaa mohon doanya yaaa,0
44,eh iyaa gais kadonya udah aku kasih yaa  kata nama  makasihh sama maaf kalau ada salah  minggu ini udah mau ke samarinda,0
45,permintaan anda sedang diproses  beberapa saat lagi paket internet anda akan di non aktifkan  dan akan berlaku tariff dasar internet,0
