no,body_text,label
0,iya dy haha sabar bgt anak jd we gtau ngomong,0
1,besok kampus ga,0
2,mgkin periksa nama id view jg sep,0
3,data pasien no medrec sdgkn daftar ulang pake no register karna field isi daftar ulang beda tablenya beda,0
4,topup pulsa rp hasil via transfer atm bni kode trx pulsa rp terima kasih indosat ooredoo,0
5,selamat sore dg nama lg nyari kosan bulan kosong sana terima kasih,0
6,senin mah lepas doang brngktnya selasa egi senin berangktnya,0
7,nama note nama dinamic emil kembaliin nama gmana,0
8,wid jgn plg ketemu brgkt jam hehe,0
9,sok bebas gmna bsok hayu jumat oke,0
10,eh kosan nama maksud temen nama september,0
11,kalo ngga besok kampus senin nama kampus,0
12,dikpad kontak,0
13,oh oke lgsg kesana pasti buka jam bebek komar dt,0
14,jg blm berangkt wkwk,0
15,kamis kantor,0
16,maaf buat maaf lisan jaga maaf perilaku maaf salah sadar sadar,0
17,okayyy siang jam an hehe ga mana,0
18,andipublisher com po bni bank mandiri,0
19,ikan tempe,0
20,waalaikumsalamin dpt bantu min,0
21,mah tinggal jual jd marah ntar alesannya duit km diem lgsg haha,0
22,cari ken murah riah kualiatasnya bagus,0
23,ouhhh gitu yaudah ntar besok chat kalo mo ngampus,0
24,selamat guys karna nikah bareng kebaperan naonaridyah,0
25,pandu pla dishare grup fb,0
26,bu pindah berat kabarin bu terima kasih,0
27,alhamdullilah beres group silah silah manfaat group diskusi topik kait skripsi gemastik kerja,0
28,instagram,0
29,udah ditambahin,0
30,haha ayook bully adi ndut ,0
31,waktu luang besok futsal jam sampoerna ngaret,0
32,kumpul makan daging gak resto,0
33,maaf teteh sibuk gpp bayar besok aja pas kirim,0
34,bebas senin stuju aja kebapain program,0
35,da sebenernya makan indomie ge mah ,0
36,mah stasiun lewatin rel nama,0
37,numpang promo yah tau minat liat instagram,0
38,habis pake groupwhere biar ga cecer filenya,0
39,kfc deket enhaii dy,0
40,udh bapa bsk kantor cuman blm dbls lg jamber jd blm jg,0
41,aja tugas quiz ngejar dikit materi location aware app temu sensor,0
42,bis ga ga bantuin beberes ato masak,0
43,makasih semuanyaaa doa yaaa,0
44,eh iyaa gais kado udah kasih yaa nama makasihh maaf salah minggu udah samarinda,0
45,minta proses paket internet non aktif laku tariff dasar internet,0
46,iya selasa bapa rabu berangkat,0
47,okeee telor butuh segimana,0
48,kamis,0
49,turun cegah remedial siap asal,0
50,alhamdulillah puji syukur nikmat allah swt nikmat hidup detik evaluasi sadar khilaf salah,0
51,pin tcash silah pin nikmat layan tcash telkomsel,0
52,rb kamar mandi kamar mandi rb,0
53,harga kisar rb nama ,0
54,gaaais nama kyk nama nih biar rapih,0
55,januari mah ambil minggu aja minggu januari,0
56,gimana nuy hadap beliau,0
57,langgan yth tri care no xv pin menang jf hadiah unit mobil toyota yaris info klik http tri webnode com cocok pin menang,1
58,no rekening bri sri narti no rek,1
59,transfer tipon no nomorponselstring ubah no rekening terima kasih,1
60,resmi indosat no nomorponselstring pilih menang poin plus plus pin menang info klik domainwebsite sms kirim no nomorponselstring,1
61,aneka shop bagi promo type blackberry dakota jt tourch jt onix jt gemini rb mesan nomorponselstring pin bb de domainwebsite,1
62,trima ksh mjd langgan cnf aqua gnkan no nomorponselstring mesan air isi ulang agua asli sed jga gas kg kg tlng sebar sms tmn kost kampus jga jgn henti km terima kas nb tlng save no mesan aqua la butuh mksh gratis,1
63,rekening bri rek nomorponselstring rasto murdoyo,1
64,nagamas elecktronik bb dakota jt bb davis rb bb gemini rbq bb torch jt dll call nomorponselstring sms nomorponselstring pin bb domainwebsite,1
65,promo cuci gudang blackberry samsung apple laptop beli dpt info call nomorponselstring pin bb fb caturgadget ymail com,1
66,terima kasih isi counter war pul cell info layan bayar tagih pln,1
67,krim bni aja ayu suryani no rek klo kirim kabarin,1
68,toko jaya bb discount type blackberry gemini ribu torch jt dakota jta nokia samsung info klik domainwebsite,1
69,kirim pulsa ewu no nomorponselstring mas agus,1
70,selamat menang promo undi pop mie getlucky men dptkan unit mobil nissan juke pin info klik domainwebsite,1
71,selamat no sim card dptkan hadiah unit mobil toyota yaris pin jf info hub nomorponselstring klik domainwebsite awas tipu,1
72,plg yth no men dpt hadiah dr pengundiang pt indosat pin hadiah klik domainwebsite,1
73,yank isi dl pulsa no as nomorponselstring gw gantiin bget nih krn barusan bos gw nelpon gw tgguin yach ,1
74,blackberry online big sal bb rp jt dakota rp jt samsung note ii rp jt iphone gb rp jt laptop camera dll minat invite to bbm pin ff,1
75,modal usaha solusi uang copy ktp kartu kredit npwp no rek pribdi jt dr bank hub lia nomorponselstring nomorponselstring,1
76,ass maaf sy by hj suri kemarin survey rumah harga hub suami sigit tlp nomorponselstring terima kasih,1
77,langgan yth simcard sbg menang mendptkan hadiah mobil toyota all new yaris pin jf gebyar undi care info lenkap klik domainwebsite,1
78,hquarters business residence lokasi emas asia afrika bdg hrg prelaunch profit roi thn bs libur byr th tsm des jan domainwebsite nomorponselstring,1
79,pesan resmi selamat no simcard dptkan hadiah cek rp juta dr tri care pin info kelik domainwebsite,1
80,pt pertamina persero terima karyawan lulus smk kirim lamar cv ijazah photo notip email pertaminareckrutment ymail com,1
81,sdh mnghubungi tdk trsambung sim card hadiah tiga dri pt axis pin klik domainwebsite,1
82,slmt no mndptkn hadiah grand prize uang rp jt dr telkomsel poin no pin jk hub call center nomorponselstring kirim sel,1
83,pesan resmi dri tri care slmt mdpt hadiah unit mobil honda jazz rs no pin menang bl utk info kunjung domainwebsite,1
84,allah moga hp keluarga kasih sayang mu kah rejekinya jauh mara bahaya amin kenan,1
85,slmat no dpt dana bantu rp jt dr pt sidomuncul info hub ir hj muliyadi nomorponselstring laksana pt sidomuncul,1
86,info dana tunai jamin juta bunga syarat milik kartu kredit proses call firli,1
87,selamat daftar member pulsa kode agen pin saldo rp tambah saldo ketik info kirim nomorponselstring,1
88,tawar batas software sms gateway utk iklan sms pilkada sekolah instansi kampus dll harga promo rp hub jasa advertising corp nomorponselstring jam,1
89,tselpoin kejut poin hadiah rp jt resmi nomorponselstring pin bc info hub cs pt telkomsel kirim,1
90,nasabah bri yth cek juta undi bri kode triplle cek info hadiah klik domainwebsite,1
91,nomor papa tolong kirimin pulsa nomor papa nomorponselstring papa kantor polisi telepon papa,1
92,belanja online toko resky discon bb laptop samsung ipad nokia dll mesan order call sms nomorponselstring kunjung web domainwebsite,1
93,pesan resmi pt care berkat isi ulang pulsa no resmi hadiah rp juta care pin menang info klik domainwebsite,1
94,rekening bank bri no rek ir mayani,1
95,sempat agen pulsa all operator mkios harga murah ketik gabung kirim nomorponselstring,1
96,nasabah bank bri yth selamat mndptkan cek tunai rp jt bank rakyat indonesia pin ijh info klik kunjung domainwebsite,1
97,dptkan tiket promo terbang domestic internasional booking online jam info hub nomorponselstring,1
98,plgn yth rian harino opoerator tri tlah hubung sambung jdi informasi lwt sms sblum hadiah jatuh tempo selamat no tri menang undi care no pin menang mg hub kantor tri jakarta nomorponselstring info klik domainwebsite,1
99,lelah byr min payment solusi bantu legal tutup cc kta dscn hub lolyta nomorponselstring nomorponselstring wa legal,1
100,plgn yth tri mnctv umum nomor tgl maret pagi tdk sambung desi hermawati costumer servis tri plaza semanggi lt jl jend sudirman kav jkt pst kirim sms jatuh tempo nomor simcard tri menang undi pesta internet tri hadiah toyota new yaris pin id info resmi klik domainwebsite,1
101,surat putus dri pt tri care no xv pin pen ber hasil men dapat yunit mobil honda jazz rs info kunjung domainwebsite,1
102,surat putus resmi slmt no sim card pilih menang dri pt tronik pin info klik domainwebsite,1
103,yth isti sofiyah hubung bpk drs safi pd kadisdik ntb nomorponselstring perihal seminar gratis dikti bu sri tu diknas,1
104,dapat total hadiah ratus juta rupiah kota berkah klik domainwebsite kota berkah program agustus,1
105,pt bni persero tbk rekening pilih rp jt rejeki bni taplus kode cek silah klik domainwebsite,1
106,setor angsur bayar harap tlp dlu atas sy bpk iwan hp nomorponselstring dri indomobil finance tks,1
107,selamat dptkan hadiah unit mobil honda jazz uang tunai jt rs dr pt tricare pin menang bfg info klik domainwebsite,1
108,ma isi dl pulsa rb nmr nomorponselstring,1
109,pesan resmi care undi tiga uang tunai juta domainwebsite,1
110,slmt no dpt unit mobil all new avanza telkomselpoin pin pmenan info lengkap kunjung domainwebsite,1
111,selamat mendpt hadiah rp juta telkomsel point edisi september hub kntr pusat,1
112,mudah aman bisnis togel bentuk online gabung raih untung domainwebsite satu situs togel online percaya,1
113,selamat mdptkan unit mobil nissan juke dr pt indofood pin tdn info ambil hadiah kunjung website domainwebsite,1
114,pesan resmi selamat no simcard dptkan hadiah cek rp juta dr tri care pin info klik domainwebsite,1
115,slmt no mendpt hadiah rp juta telkomsel poin undi mlm wib rcti info hub nomorponselstring ir serianto kirim,1
116,toko bagus phone promo diskon blackberry dakota rp jt torchrp jt gemini rb info sms pin nomorponselstring domainwebsite,1
117,pesan resmi selamat no simcard dptkam hadiah cek rp juta dr tri care pin info keik domainwebsite,1
118,guntur hubung facebook http fb com lnzh lcm rug balas stop unruk henti terima sms facebook,1
119,angka jitu putar hubung nomorponselstring mbah togel semarang jamin tembus raja shio buka jam,1
120,info pt kios hsil undi berkat isi pulsa selamat no hp nomorponselstring dpt hadiah pin menang ad info klik domainwebsite,1
121,selamat dptkan hadiah cek tunai rp jt indosat pin fg info ambil hadiah kunjung website indosat domainwebsite,1
122,info resmi bpk hormat selamat no menang pesta isi ulang care no pin undi malam pkl sctv info hadiah klik domainwebsite,1
123,yuk ikut akun dakwah ketik spasi akucintaislam kirim nomorponselstring,1
124,dapat tiket pswt hrga promo terbang domestik internasional reservasi tiket mudah praktis hub nomorponselstring domainwebsite,1
125,sempat agen pulsa mkios all operator harga rb rb rb rb ketik daftar kirim nomorponselstring,1
126,wassalamu alaikum wr wb uang kirim no rek bri nova aryaxxx xxx sdh transfer sms aja no trmh kasih no hp kirim sms nomorponselstring,1
127,tolong uang transfer bank xxx xxx xxx transfer sms terima kasih,1
128,solusi praktis pegang kartu kredit nikmat mudah kredit agun jt dgn max pinj limit hub fany abai tdk minat,1
129,bella bingung bang nulis aq nulis serba salah mending ngobrol tlpn aja deh bang no telp aq nomorponselstring xxxx,1
130,surat putus no vii kode undi ad selamat no mendpt hadiah cek tunai rp jt info kunjung domainwebsite,1
131,surat putus dr tri care no xv pin menang cx cek rp juta info klik domainwebsite,1
132,transfer bri aja angga prastia no rek,1
133,surat putus pt tri slamat no nomorponselstring resmi dptkan honda jazz rs kode pin bfg info hub nomorponselstring klik domainwebsite,1
134,nomor rekening bri andika septiana,1
135,pesan resmi dr tri care indonesia selamat no mendpatkn hadiah dgn no pin bl info silah kunjung domainwebsite,1
136,lejit pintar kursus suami isteri aktifasi smangat bljr kuat fungsi otak anak prestasi mningkat telepon ketik ok sms nomorponselstring,1
137,bayar transfer harap hubung atas bpk ardiansah no tlp nomorponselstring ubah bayar,1
138,indosatpoin plus plus selamat simcard xxxx resmi pilih dpt hadiah pin sahkan pt indosat info klik domainwebsite,1
139,promo blackberry bb dakota jt bb torch jt bb davis jt bb orlando jt bb gemini rb minat hub nomorponselstring promo batas,1
140,rekening bank mandiri ali syamsudin rek,1
141,transfer uang rekening bni ismawati rek sms klo sdh kirim,1
142,gratis pulsa rb malam dg isi ulang rb daftar ketik gratis krm reg ckp info ketik info krm,1
143,bayar jatuh tempo silah lapor hub kantor nomorponselstring terima kasih,1
144,promo blackberry bb dakota jt bb torch jt bb davis jt bb onyx jt bb gemini rb minat hub nomorponselstring promo batas,1
145,rekening bank mandiri no rek murtiani,1
146,pesan resmi tri no xv pin menang ytg pilih menang ii hadiah cek tunai jt info lengkap tri klik domainwebsite telepon no nomorponselstring,1
147,arum prasodjo operator tri jkt pst pt pos persero surat pemberitahuan alamat registrasi kartu tri temu kirim sms info selamat nomor menang undi tri siar mnctv tgl agustus menang pin undi lengkap prosedur hadiah jatuh tempo klik http domainwebsite,1
148,hot promo dptkan extra pulsa tsel rb dg beli paket internet my telkomsel app sjk agsts sept cek detail paket tsel me mytsel,2
149,beli paket gampang internetan rp utk chatting puas bbm whatsapp line tuju balas flash spasi kirim utk lanjut tunggu sms konfirmasi sblm pakai info detail tariff tsel me internet,2
150,gb rp ribu spesial pilih aktif ussdphonenumber buru skb,2
151,raih smartphone diskon merchant free internet voice sms promo tahun ri tukar telkomsel poin ags mytelkomsel apps,2
152,use my invite code nxmvf ue and get free ride up to rp redeem it at https domainwebsite invite nxmvf ue,2
153,ayo download axisnet apple play store aktif bronet jam gb hr rp bronet jam gb hr obor gb rp info ld,2
154,freedom combo xl rp rb normal rp rb double kuota gb gb promo gb unlimited nelp sms indosat ooredoo ketik freedom xl,2
155,dapat bonus sms dg kirim sms bonus ratus sms operator pakai indosat ooredoo raih bebas komunikasi,2
156,sempat langka loh dapat gb rp balas sms ketik november bonus laku tl,2
157,isi saldo tcashmu nikmat aneka promo merchants partner tcash cek promo baru tcash tsel me tappromo,2
158,spreading the go jek love download the go jek app at http go jek com app and input this referral code to get rp free credit to your first booking gojekgotmehere,2
159,paket internet ribu dgn kuota gb hr laku jam jaring cepat indosat balas sms ketik sd mei,2
160,hot promo internetan kuota gb hr rp ribu aja beli ussdphonenumber promo juni,2
161,gratis whatsapp hari beli internet hari mb harga rp balas sms dgn ketik jr utk beli,2
162,nikmat ekstra pulsa dgn isi ulang min rb aplikasi mytelkomsel kartu kredit visa download http tsel me promo agst,2
163,murah seru banget main gamesmu pakai pulsa aja beli koin cek http tsel me jajanonline,2
164,tri bagi bonus pulsa pernuh berkah isi pulsa min rb dapet bonus pulsa rb utk nelp nmr tri ayo buru isi pulsa,2
165,hi ayo coba grab mesan taxi cepat aman klik https invite grab co aa,2
166,isi saldo tcashmu jaring atm atm bca laku transfer bank pilih bank tcash kode bank no hp sbg no rekening tuju,2
167,tingkat nilai isi ulang minimal rp ribu paket murah pas ussdphonenumber info,2
168,download rasa seru game game premium pilih ussdphonenumber,2
169,gratis gb blm ganti kartu sim sim tukar skrg gerai indosatooredoo dekat nikmat gratis gb jaring,2
170,kupon program kartu as biber beli internet hadiah cek total kupon maksimal jam skrg ussdphonenumber info lengkap hub,2
171,special promo bonus kuota mb hr isi ulang ayo buru isi pulsa,2
172,nikmat diskon tarif sli negara sd wib sd agustus info lengkap ketik ussdphonenumber domainwebsite iddpromo,2
173,dapat extra kuota gb lte extra nelpon mnt hr dg beli paket flash gb my telkomsel app buru cek tsel me mytsel,2
174,maaf milik bonus kuota dapat bonus kuota gb toko dekat laku jawa timur bal lombok,2
175,hemat langgan paket data minggu rp gampang ketik kuota spasi krm sms,2
176,jumat promo bronet jam gb hr rp bronet gb hr jam gb gb rp aktif paket ussdphonenumber info ld,2
177,ketik maret rp rb bln lgs dptkan gb bonus gb utk internetan telp sms puas nomor,2
