no,body_text,label
0,iya dy haha sabar bgt anaknya jd we gtau ngomong,0
1,besok kampus ga,0
2,mgkin periksa nama id view jg sep,0
3,data pasien no medrec sdgkn daftar ulang pake no register karna field diisi daftar ulang beda tablenya beda,0
4,topup pulsa rp berhasil via transfer atm bni kode trx pulsa rp terima kasih indosat ooredoo,0
5,selamat sore dg nama lg nyari kosan perbulan kosong disana terima kasih,0
6,senin mah pelepasan doang brngktnya selasa egi senin berangktnya,0
7,nama note nama dinamic emil kembaliin nama gmana,0
8,wid jgn plg ketemu brgkt jam hehe,0
9,sok bebas gmna bsok hayu jumat oke,0
10,eh kosan nama maksudnya temen nama september,0
11,kalo ngga besok kampus senin nama kampus,0
12,dikpad kontaknya,0
13,oh oke lgsg kesana kepastikan buka jam bebek komar dt,0
14,jg blm berangkt wkwk,0
15,kamis kantor,0
16,maaf perbuat maaf lisan terjaga maaf perilaku maaf kesalahan tersadari sadari,0
17,okayyy siang jam an hehe ga kemana,0
18,andipublisher com po bni bank mandiri,0
19,ikan tempe,0
20,waalaikumsalamin dpt bantu min,0
21,mah ditinggal jualan jd marah ntar alesannya duit km diem lgsg haha,0
22,cari seken murah meriah kualiatasnya bagus,0
23,ouhhh gitu yaudah ntar besok chat kalo mo ngampus,0
24,selamatkan guys karna nikah bareng kebaperan naonaridyah,0
25,panduan pla dishare grup fb,0
26,bu pindah keberatan kabarin bu terima kasih,0
27,alhamdullilah beres group dipersilahkan silahkan memanfaatkan group diskusi topik terkait skripsi gemastik kerjaan,0
28,instagram,0
29,udah ditambahin,0
30,haha ayook bully adi ndut ,0
31,waktu luang besok futsal jam sampoerna ngaret,0
32,kumpulnya makan daging gak resto,0
33,maaf teteh sibuk gpp bayar besok aja pas pengiriman,0
34,bebas senin stuju aja kebapain program,0
35,da sebenernya makan indomie ge mah ,0
36,mah stasiun lewatin rel nama,0
37,numpang promo yah tau berminat liat instagram,0
38,habis pake groupwhere biar ga berceceran filenya,0
39,kfc deket enhaii dy,0
40,udh bapa bsk kekantor cuman blm dbls lg jamber jd blm jg,0
41,aja tugas quiz ngejar dikit materinya location aware app pertemuan sensor,0
42,bisi ga ga bantuin beberes ato masak,0
43,makasih semuanyaaa doanya yaaa,0
44,eh iyaa gais kadonya udah kasih yaa nama makasihh maaf salah minggu udah samarinda,0
45,permintaan diproses paket internet non aktifkan berlaku tariff dasar internet,0
46,iya selasa bapa rabu berangkat,0
47,okeee telor butuhnya segimana,0
48,kamis,0
49,turun mencegah remedial persiapan asalan,0
50,alhamdulillah puji syukur nikmat allah swt nikmat hidup detik mengevaluasi menyadari kekhilafan kesalahan,0
51,pin tcash silahkan pin menikmati layanan tcash telkomsel,0
52,rb kamar mandinya kamar mandi rb,0
53,harganya kisaran rb nama ,0
54,gaaais penamaannya kyk nama nih biar rapih,0
55,januari mah ambil seminggu aja seminggu januari,0
56,gimana nuy menghadapi beliau,0
57,pelanggan yth tri care no xv pin pemenang jf hadiah unit mobil toyota yaris info klik http tri webnode com mencocokkan pin pemenang,1
58,no rekeningnya bri sri narti no rek,1
59,transfer tipon no nomorponselstring perubahan no rekening terima kasih,1
60,resmi indosat no nomorponselstring terpilih pemenang poin plus plus pin pemenang info klik domainwebsite sms dikirim no nomorponselstring,1
61,aneka shop berbagi promo type blackberry dakota jt tourch jt onix jt gemini rb pemesanan nomorponselstring pin bb de domainwebsite,1
62,trima ksh mjd pelanggan cnf aqua gnkan no nomorponselstring pemesanan air isi ulang agua asli sed jga gas kg kg tlng sebarkan sms tmn kost kampus jga jgn berhenti km terima kas nb tlng save no pemesanan aqua la membutuhkan mksh gratis,1
63,rekeningnya bri rek nomorponselstring rasto murdoyo,1
64,nagamas elecktronik bb dakota jt bb davis rb bb gemini rbq bb torch jt dll call nomorponselstring sms nomorponselstring pin bb domainwebsite,1
65,promo cuci gudang blackberry samsung apple laptop beli dpt info call nomorponselstring pin bb fb caturgadget ymail com,1
66,terima kasih pengisian counter war pul cell info melayani pembayaran tagihan pln,1
67,krim bni aja ayu suryani no rek klo dikirim kabarin,1
68,toko jaya bb discount type blackberry gemini ribu torch jt dakota jta nokia samsung info klik domainwebsite,1
69,kirimi pulsa ewu no nomorponselstring mas agus,1
70,selamat pemenang promo undian pop mie getlucky men dptkan unit mobil nissan juke pin info klik domainwebsite,1
71,selamat no sim card dptkan hadiah unit mobil toyota yaris pin jf info hub nomorponselstring klik domainwebsite awas penipuan,1
72,plg yth no men dpt hadiah dr pengundiang pt indosat pin hadiah klik domainwebsite,1
73,yank isikan dl pulsa no as nomorponselstring gw gantiin bget nih krn barusan bos gw nelpon gw tgguin yach ,1
74,blackberry online big sal bb rp jt dakota rp jt samsung note ii rp jt iphone gb rp jt laptop camera dll minat invite to bbm pin ff,1
75,modal usaha solusi keuangan copy ktp kartu kredit npwp no rek pribdi jt dr bank hub lia nomorponselstring nomorponselstring,1
