no,feature,idf
0,aa,6.432848259505643
1,aamiiiin,7.349138991379798
2,aamiin,6.432848259505643
3,ab,6.943673883271633
4,abadi,7.349138991379798
5,abai,7.349138991379798
6,abdul,7.349138991379798
7,abdullah,7.349138991379798
8,abis,6.250526702711688
9,acara,6.943673883271633
10,account,7.349138991379798
11,ad,6.09637602288443
12,ada,6.943673883271633
13,adi,7.349138991379798
14,adik,7.349138991379798
15,adison,7.349138991379798
16,admin,7.349138991379798
17,administrasi,7.349138991379798
18,adminlte,7.349138991379798
19,ado,7.349138991379798
20,adrian,7.349138991379798
21,adu,7.349138991379798
22,aduh,7.349138991379798
23,advertising,7.349138991379798
24,advice,7.349138991379798
25,aesthetic,7.349138991379798
26,af,7.349138991379798
27,afr,6.943673883271633
28,afrika,7.349138991379798
29,agam,7.349138991379798
30,agen,5.845061594603524
31,agenda,7.349138991379798
32,agendain,7.349138991379798
33,agen-kirim,5.962844630259907
34,agen-kirim-pulsa,5.962844630259907
35,agen-nomorponselstring,5.962844630259907
36,agen-nomorponselstring-kirim,5.962844630259907
37,agen-nomorponselstring-kirim-pulsa,5.962844630259907
38,agen-nomorponselstring-pulsa,5.962844630259907
39,agen-pulsa,5.845061594603524
40,agenpulsa,7.349138991379798
41,ags,7.349138991379798
42,agst,6.943673883271633
43,agsts,7.349138991379798
44,agt,6.655991810819852
45,agua,7.349138991379798
46,agun,6.943673883271633
47,agus,6.655991810819852
48,agust,7.349138991379798
49,agustus,5.962844630259907
50,ah,7.349138991379798
51,ahaha,7.349138991379798
52,aidzin,7.349138991379798
53,aigoo,7.349138991379798
54,air,6.09637602288443
55,aiu,6.943673883271633
56,aj,6.432848259505643
57,aja,3.5649493574615367
58,ajaa,6.943673883271633
59,ajaaa,7.349138991379798
60,aja-beli,6.250526702711688
61,aja-no,5.6443908991413725
62,aja-rek,5.739701078945697
63,ajak,7.349138991379798
64,ajakin,7.349138991379798
65,ajar,6.655991810819852
66,ajeng,7.349138991379798
67,akademik,7.349138991379798
68,akang,6.655991810819852
69,akbar,7.349138991379798
70,akreditasi,7.349138991379798
71,akses,5.739701078945697
72,aksi,7.349138991379798
73,aktif,4.353406717825807
74,aktifasi,7.349138991379798
75,aktivasi,6.943673883271633
76,aktivitas,7.349138991379798
77,akucintaislam,7.349138991379798
78,akumulasi,7.349138991379798
79,akun,7.349138991379798
80,akurasi,7.349138991379798
81,akurat,7.349138991379798
82,alaikum,6.250526702711688
83,alaiqum,7.349138991379798
84,alam,6.943673883271633
85,alamat,6.655991810819852
86,alami,7.349138991379798
87,alamsyah,6.943673883271633
88,alat,7.349138991379798
89,alesannya,6.943673883271633
90,algoritma,6.943673883271633
91,alhamdulillah,6.943673883271633
92,alhamdullilah,7.349138991379798
93,alhuda,7.349138991379798
94,ali,7.349138991379798
95,aliando,7.349138991379798
96,all,5.3342359708375335
97,allah,6.250526702711688
98,all-klik,5.962844630259907
99,all-klik-new,5.962844630259907
100,all-klik-new-pin,5.962844630259907
101,all-klik-new-yth,5.962844630259907
102,all-klik-pin,5.962844630259907
103,all-klik-yth,5.962844630259907
104,all-klik-yth-pin,5.962844630259907
105,all-new,5.739701078945697
106,all-new-pin,5.739701078945697
107,all-new-pin-toyota,5.962844630259907
108,all-new-toyota,5.962844630259907
109,all-new-yth,5.962844630259907
110,all-new-yth-pin,5.962844630259907
111,all-nomorponselstring,5.962844630259907
112,all-pin,5.739701078945697
113,all-toyota,5.962844630259907
114,all-toyota-pin,5.962844630259907
115,all-yth,5.962844630259907
116,all-yth-pin,5.962844630259907
117,almt,7.349138991379798
118,alphard,6.943673883271633
119,alquran,7.349138991379798
120,alur,7.349138991379798
121,ama,6.655991810819852
122,aman,6.250526702711688
123,amanda,7.349138991379798
124,ambil,5.269697449699962
125,amin,7.349138991379798
126,amp,7.349138991379798
127,ampuun,7.349138991379798
128,an,5.6443908991413725
129,anak,6.09637602288443
130,ananda,7.349138991379798
131,and,6.655991810819852
132,andi,7.349138991379798
133,andika,7.349138991379798
134,andipublisher,7.349138991379798
135,andri,7.349138991379798
136,andrianto,7.349138991379798
137,android,6.943673883271633
138,androidmu,7.349138991379798
139,andromax,6.432848259505643
140,ane,7.349138991379798
141,aneka,6.943673883271633
142,ang,7.349138991379798
143,angga,7.349138991379798
144,anggar,7.349138991379798
145,angka,6.09637602288443
146,angkot,6.943673883271633
147,angpao,7.349138991379798
148,angpaopoinsenyum,7.349138991379798
149,angsur,6.943673883271633
150,angunan,7.349138991379798
151,ani,7.349138991379798
152,animasi,7.349138991379798
153,anita,7.349138991379798
154,anomali,7.349138991379798
155,antar,6.943673883271633
156,antivirus,7.349138991379798
157,anto,7.349138991379798
158,anu,7.349138991379798
159,anyar,7.349138991379798
160,anyonghaseyo,7.349138991379798
161,ap,6.250526702711688
162,apapa,7.349138991379798
163,api,7.349138991379798
164,aplikasi,5.739701078945697
165,app,5.557379522151743
166,app-beli,5.962844630259907
167,app-beli-extra,5.962844630259907
168,app-beli-extra-flash,6.250526702711688
169,app-beli-extra-my,6.09637602288443
170,app-beli-flash,6.250526702711688
171,app-beli-flash-my,6.250526702711688
172,app-beli-my,6.09637602288443
173,app-beli-telkomsel,6.09637602288443
174,app-beli-telkomsel-flash,6.250526702711688
175,app-beli-telkomsel-my,6.09637602288443
176,app-beli-tsel,6.250526702711688
177,app-buru,6.250526702711688
178,app-buru-beli,6.250526702711688
179,app-buru-beli-extra,6.250526702711688
180,app-buru-beli-flash,6.250526702711688
181,app-buru-beli-my,6.250526702711688
182,app-buru-beli-telkomsel,6.250526702711688
183,app-buru-extra,6.250526702711688
184,app-buru-extra-flash,6.250526702711688
185,app-buru-flash,6.250526702711688
186,app-buru-paket,6.250526702711688
187,app-buru-paket-beli,6.250526702711688
188,app-buru-paket-extra,6.250526702711688
189,app-buru-paket-flash,6.250526702711688
190,app-buru-paket-telkomsel,6.250526702711688
191,app-buru-telkomsel,6.250526702711688
192,app-buru-telkomsel-flash,6.250526702711688
193,app-dpt,6.250526702711688
194,app-dpt-extra,6.250526702711688
195,app-extra,5.962844630259907
196,app-extra-flash,6.250526702711688
197,app-extra-my,6.09637602288443
198,app-flash,6.250526702711688
199,app-flash-my,6.250526702711688
200,app-me,6.250526702711688
201,app-me-beli,6.250526702711688
202,app-me-beli-extra,6.250526702711688
203,app-me-beli-tsel,6.250526702711688
204,app-me-extra,6.250526702711688
205,app-me-paket,6.250526702711688
206,app-me-paket-beli,6.250526702711688
207,app-me-paket-extra,6.250526702711688
208,app-me-paket-tsel,6.250526702711688
209,app-me-tsel,6.250526702711688
210,app-my,6.09637602288443
211,app-paket,5.962844630259907
212,app-paket-beli,5.962844630259907
213,app-paket-beli-extra,5.962844630259907
214,app-paket-beli-flash,6.250526702711688
215,app-paket-beli-my,6.09637602288443
216,app-paket-beli-telkomsel,6.09637602288443
217,app-paket-beli-tsel,6.250526702711688
218,app-paket-dpt,6.250526702711688
219,app-paket-dpt-extra,6.250526702711688
220,app-paket-extra,5.962844630259907
221,app-paket-extra-flash,6.250526702711688
222,app-paket-extra-my,6.09637602288443
223,app-paket-flash,6.250526702711688
224,app-paket-flash-my,6.250526702711688
225,app-paket-my,6.09637602288443
226,app-paket-telkomsel,6.09637602288443
227,app-paket-telkomsel-flash,6.250526702711688
228,app-paket-telkomsel-my,6.09637602288443
229,app-paket-tsel,6.250526702711688
230,app-telkomsel,6.09637602288443
231,app-telkomsel-flash,6.250526702711688
232,app-telkomsel-my,6.09637602288443
233,app-tsel,6.250526702711688
234,apple,6.655991810819852
235,apply,7.349138991379798
236,appreciation,7.349138991379798
237,apps,6.432848259505643
238,april,6.09637602288443
239,aq,6.655991810819852
240,aqila,7.349138991379798
241,aqua,6.943673883271633
242,ardiansa,7.349138991379798
243,ardiansah,7.349138991379798
244,ardiansyah,7.349138991379798
245,area,7.349138991379798
246,arengnya,7.349138991379798
247,argo,7.349138991379798
248,ari,7.349138991379798
249,arif,7.349138991379798
250,armada,7.349138991379798
251,artha,6.943673883271633
252,artis,7.349138991379798
253,arum,7.349138991379798
254,arya,7.349138991379798
255,aryadhi,7.349138991379798
256,aryaxxx,7.349138991379798
257,as,5.739701078945697
258,asa,6.432848259505643
259,asal,7.349138991379798
260,asam,7.349138991379798
261,asap,7.349138991379798
262,ashar,7.349138991379798
263,asia,7.349138991379798
264,asing,7.349138991379798
265,asisten,7.349138991379798
266,asli,6.943673883271633
267,asmul,7.349138991379798
268,ass,6.250526702711688
269,assalam,7.349138991379798
270,assalamu,6.250526702711688
271,assalamualaikum,6.09637602288443
272,asumsi,7.349138991379798
273,asuransi,6.655991810819852
274,at,6.250526702711688
275,atas,5.845061594603524
276,atay,7.349138991379798
277,atm,6.943673883271633
278,ato,6.432848259505643
279,atuh,6.250526702711688
280,atuhlah,7.349138991379798
281,atulah,7.349138991379798
282,atur,7.349138991379798
283,aty,7.349138991379798
284,aug,6.250526702711688
285,aunul,7.349138991379798
286,avanza,5.962844630259907
287,aware,7.349138991379798
288,awas,6.655991810819852
289,away,7.349138991379798
290,awet,7.349138991379798
291,axiata,7.349138991379798
292,axis,5.739701078945697
293,axis-promo,6.09637602288443
294,axismu,7.349138991379798
295,axisnet,6.943673883271633
296,axisworld,7.349138991379798
297,aya,6.943673883271633
298,ayah,6.655991810819852
299,ayam,5.962844630259907
300,ayena,7.349138991379798
301,ayeuna,7.349138991379798
302,ayo,4.710081661764539
303,ayo-bonus,5.962844630259907
304,ayo-bonus-isi,5.962844630259907
305,ayo-buru,6.250526702711688
306,ayo-buru-bonus,6.250526702711688
307,ayo-buru-bonus-isi,6.250526702711688
308,ayo-buru-isi,6.250526702711688
309,ayo-isi,5.557379522151743
310,ayo-kuota,6.250526702711688
311,ayo-ld,6.09637602288443
312,ayo-ulang,5.962844630259907
313,ayook,7.349138991379798
314,ayu,6.432848259505643
315,ayyuuuukk,7.349138991379798
316,baa,7.349138991379798
317,bab,7.349138991379798
318,babakaran,7.349138991379798
319,baberque,7.349138991379798
320,baca,6.655991810819852
321,backup,7.349138991379798
322,bagi,6.432848259505643
323,bagus,6.250526702711688
324,bahagia,6.943673883271633
325,bahan,7.349138991379798
326,bahas,6.943673883271633
327,bahaya,7.349138991379798
328,bahri,7.349138991379798
329,baik,6.250526702711688
330,bakar,6.432848259505643
331,bakmi,7.349138991379798
332,bakti,7.349138991379798
333,bal,6.432848259505643
334,balai,7.349138991379798
335,balas,5.6443908991413725
336,ball,7.349138991379798
337,balon,7.349138991379798
338,bambang,7.349138991379798
339,bandar,7.349138991379798
340,bandara,6.943673883271633
341,bandros,7.349138991379798
342,bandung,5.739701078945697
343,bandungg,7.349138991379798
344,bang,7.349138991379798
345,banget,5.557379522151743
346,bangun,7.349138991379798
347,bank,4.864232341591798
348,bankbni,7.349138991379798
349,bank-no,5.403228842324484
350,bank-no-rek,5.557379522151743
351,bank-rek,5.477336814478207
352,bank-sms-uang,5.845061594603524
353,bank-uang,5.739701078945697
354,banting,7.349138991379798
355,bantu,6.250526702711688
356,bantuin,7.349138991379798
357,banyak,7.349138991379798
358,bapa,5.739701078945697
359,bapak,6.943673883271633
360,barang,6.943673883271633
361,bareng,6.250526702711688
362,barokah,7.349138991379798
363,baru,5.845061594603524
364,baruq,7.349138991379798
365,barusan,7.349138991379798
366,basdat,7.349138991379798
367,baskin,7.349138991379798
368,batam,7.349138991379798
369,batas,5.151914414043579
370,batasfup,7.349138991379798
371,batas-gb,6.250526702711688
372,batas-promo,5.739701078945697
373,batas-sms,6.09637602288443
374,batas-ussdphonenumber,5.845061594603524
375,bati,7.349138991379798
376,batin,6.655991810819852
377,batman,7.349138991379798
378,bawa,5.269697449699962
379,bawah,7.349138991379798
380,bawain,7.349138991379798
381,bayang,7.349138991379798
382,bayar,5.097847192773303
383,bayu,7.349138991379798
384,bb,5.046553898385752
385,bb-blackberry,5.845061594603524
386,bb-dakota,5.477336814478207
387,bb-dakota-gemini,5.845061594603524
388,bb-dakota-gemini-jt,5.845061594603524
389,bb-dakota-gemini-nomorponselstring,5.962844630259907
390,bb-dakota-jt,5.477336814478207
391,bb-dakota-jt-pin,5.845061594603524
392,bb-dakota-pin,5.845061594603524
393,bb-dll,5.739701078945697
394,bb-domainwebsite,5.557379522151743
395,bb-domainwebsite-dakota,5.962844630259907
396,bb-domainwebsite-dakota-jt,5.962844630259907
397,bb-domainwebsite-dll,5.962844630259907
398,bb-domainwebsite-jt,5.739701078945697
399,bb-domainwebsite-jt-pin,5.845061594603524
400,bb-domainwebsite-nomorponselstring,5.845061594603524
401,bb-domainwebsite-nomorponselstring-jt,5.962844630259907
402,bb-domainwebsite-nomorponselstring-pin,5.962844630259907
403,bb-domainwebsite-pin,5.739701078945697
404,bb-gemini,5.739701078945697
405,bb-gemini-jt,5.739701078945697
406,bb-info,5.845061594603524
407,bb-info-pin,5.962844630259907
408,bb-jt,5.269697449699962
409,bb-jt-dll,5.962844630259907
410,bb-jt-pin,5.557379522151743
411,bb-jt-pin-dakota-nomorponselstring,5.962844630259907
412,bb-jt-pin-nomorponselstring-domainwebsite,5.962844630259907
413,bb-laptop,5.962844630259907
414,bb-nomorponselstring,5.269697449699962
415,bb-nomorponselstring-dakota,5.6443908991413725
416,bb-nomorponselstring-dakota-jt,5.6443908991413725
417,bb-nomorponselstring-dakota-pin,5.962844630259907
418,bb-nomorponselstring-gemini,5.962844630259907
419,bb-nomorponselstring-gemini-jt,5.962844630259907
420,bb-nomorponselstring-jt,5.477336814478207
421,bb-nomorponselstring-jt-pin,5.739701078945697
422,bb-nomorponselstring-pin,5.557379522151743
423,bb-onyx,5.962844630259907
424,bb-pin,5.3342359708375335
425,bb-pin-dll,5.962844630259907
426,bb-promo,5.739701078945697
427,bb-promo-nomorponselstring,5.845061594603524
428,bb-sms,5.845061594603524
429,bb-sms-jt,5.962844630259907
430,bb-sms-nomorponselstring,5.845061594603524
431,bb-sms-nomorponselstring-jt,5.962844630259907
432,bbm,6.250526702711688
433,bbrp,6.943673883271633
434,bc,7.349138991379798
435,bca,6.655991810819852
436,bddf,7.349138991379798
437,bdg,6.943673883271633
438,bdo,7.349138991379798
439,beaok,7.349138991379798
440,beban,7.349138991379798
441,bebas,5.6443908991413725
